p,mx,max,r0,rhoin,Cost,MaxRSS,WALLTIME,hash
8,16,6,0.5,0.1,0.0597535352532,7.1656359941,516.376,e8b6b8140e58
4,16,6,0.3,0.1,-0.501292864477,7.02866753503,283.759,12084150575d
16,16,6,0.4,0.1,-0.184056435581,6.97784793286,147.274,593e3c68e9c5
4,16,6,0.2,0.2,-0.61042836961,6.99939364925,220.706,c619ea3b8636
4,8,5,0.4,0.1,-1.75509917503,6.46848439221,15.8177,38c100efad01
16,16,4,0.4,0.2,-1.03102129446,6.54786721379,20.9489,0fe04d6cdb6e
16,16,4,0.3,0.025,-1.07056063738,6.51599246405,19.1259,b727fe91ef9e
8,16,6,0.3,0.025,0.112700309481,7.17286436316,583.328,8633526e5045
8,16,5,0.5,0.05,-0.773525547123,6.59463118101,75.8031,6f2baf9ef2e8
8,16,6,0.2,0.2,-0.485738624884,6.53300494937,147.053,d530a1239c4e
4,16,6,0.5,0.1,0.0503453791628,7.28510414627,1010.62,b213bb8c8f6f
16,16,5,0.2,0.4,-0.722825934716,6.41444920585,42.5948,60516743ee2c
16,16,5,0.5,0.05,-0.571880330918,6.5661196397,60.2979,ae30fc357e37
4,16,5,0.2,0.2,-1.20407674838,6.51490672728,56.2556,e6ca4fcaea96
8,16,4,0.3,0.05,-1.30420322411,6.52351755671,22.3362,af2dc865e919
16,8,4,0.2,0.025,-1.70959831133,6.4416637208,4.39121,5851d2d575b5
4,16,6,0.3,0.025,0.0958161446905,7.28436539299,1122.17,53642b269da9
4,16,4,0.2,0.025,-1.61461221937,5.60358602366,21.859,41f1c809d49e
16,16,5,0.4,0.2,-0.674819240097,6.5528764329,47.5733,ec24e55e6328
16,8,4,0.3,0.05,-1.71396690295,6.44422972225,4.34726,6f79f460c31e
8,16,4,0.2,0.4,-1.35260181463,6.53818752259,19.9807,3eaa3b5241d5
8,16,6,0.5,0.4,-0.374916305684,6.99491726988,189.8,fc830d593f41
4,8,6,0.2,0.2,-1.35799738991,5.90902513823,39.468,a2ef299cacc9
8,16,6,0.4,0.2,-0.346354480007,6.99581624449,202.702,62b6306326cf
16,16,5,0.4,0.1,-0.679297176276,6.46848439221,47.0853,5a5401b485ce
16,16,4,0.5,0.1,-0.988657029715,6.93890061648,23.0954,92302869acb0
8,16,4,0.3,0.1,-1.34753232302,4.81647993062,20.2153,1844c14d5fd5
16,8,4,0.3,0.2,-1.69645357541,6.44550705988,4.52615,5a947a8463ca
4,8,6,0.5,0.1,-1.11129395386,5.52084496685,69.6544,e84736eeac62
8,8,6,0.2,0.2,-1.20607464657,6.91012045907,27.9987,de4c0b103a21
8,16,4,0.5,0.05,-1.28913640649,6.54685839921,23.1247,571857aa16cf
4,8,6,0.3,0.2,-1.25467532666,6.51272707662,50.0688,986b1581bcbc
16,8,4,0.4,0.1,-1.71536777019,6.43778606574,4.33326,1d72252af187
16,16,5,0.2,0.025,-0.566096530223,6.55979366985,61.1063,ad3c086a0116
8,16,6,0.3,0.4,-0.428943682024,6.9795294365,167.598,b4596b1bc724
4,16,6,0.4,0.025,0.0996384447536,7.28455019916,1132.09,0a3a5f8d5a53
8,16,6,0.3,0.05,0.00148660028395,7.16769627596,451.543,a518641f5ed1
16,16,4,0.3,0.05,-0.995395877429,6.9320904423,22.7398,9553d886b4e3
8,16,4,0.4,0.4,-1.2765060176,6.93767031968,23.8071,e5b4b9586742
4,16,5,0.2,0.025,-0.839678226049,6.92347779063,130.186,02580eae6bb3
8,16,4,0.2,0.025,-1.29764031985,6.93375122628,22.6763,679f0d31d50d
4,16,6,0.5,0.2,-0.409994580349,7.0900598763,350.145,96ca3ffdb74d
8,8,6,0.5,0.025,-0.638990287392,6.99707169091,103.329,ecface4a05f8
4,16,5,0.3,0.1,-1.04336155178,6.97162611257,81.4481,c9d655844275
16,16,6,0.3,0.4,-0.31417867291,6.95694869055,109.145,cdd9df94e994
16,16,6,0.3,0.2,-0.301373706829,6.93229838795,112.411,64bdb51314f4
8,16,6,0.2,0.4,-0.506889089539,6.94941967429,140.063,995f8b9e365a
8,8,6,0.2,0.1,-1.21923797785,6.41786080613,27.1628,a2af4feb1b51
4,8,4,0.4,0.1,-2.31034786717,6.4219196626,4.40448,e524833951f0
8,16,6,0.5,0.2,-0.321182280477,6.98619109304,214.798,f9b2ca7c1c40
4,16,5,0.5,0.1,-0.969380041111,6.62265990461,96.5745,324d4a530838
4,8,6,0.4,0.025,-0.682333557643,7.07714746761,187.029,a73170c3ec0b
16,16,5,0.3,0.025,-0.493742175401,6.5602835678,72.1839,6e18359f1be6
16,16,6,0.2,0.2,-0.34681751256,6.55733585638,101.243,04011c4b33a0
4,8,4,0.4,0.2,-2.31298262438,6.41581706362,4.37784,0d54699fbd1e
8,8,5,0.5,0.2,-1.61927032721,6.41513367326,10.8129,56ba68e9ba4f
16,8,4,0.4,0.4,-1.71478085724,6.43908246814,4.33912,4c3cd505f035
8,8,5,0.3,0.05,-1.6863249049,6.42527330461,9.2659,f43f3015faf3
4,8,6,0.3,0.05,-1.21702998191,6.51327301571,54.6025,081db8a0b4d1
4,8,6,0.2,0.05,-1.31504298838,6.48334876173,43.5712,55c2329e0c9a
8,16,5,0.4,0.05,-0.801083391229,6.98966619904,71.1425,d63f71e398f3
16,16,4,0.2,0.4,-1.04739050162,6.54786721379,20.174,549fdd83cc20
8,8,5,0.4,0.1,-1.66405514237,6.42527330461,9.75343,42de718be0c3
8,16,4,0.2,0.05,-1.33495295545,6.52191597721,20.8094,a280558ec4b5
8,16,5,0.2,0.025,-0.762707662433,6.98820638428,77.715,5baeec64f3b4
16,16,5,0.2,0.05,-0.674249966614,6.56321140686,47.6357,a7541239f5b7
8,16,6,0.3,0.1,-0.404976787135,6.98176136166,177.107,2c6a0c67e401
16,16,6,0.5,0.05,0.158021893144,7.0568731543,323.746,cb400ef28a59
4,16,5,0.4,0.025,-0.71865851679,7.03165466972,172.022,5b14095785c4
4,16,4,0.3,0.1,-1.63584105754,6.51923348269,20.8162,76e59c017d9e
4,8,6,0.4,0.05,-1.11950716754,6.50110090865,68.3495,8b42311be035
16,8,6,0.5,0.2,-0.953385190296,6.44868406367,25.0494,374cddd81a05
16,8,4,0.2,0.2,-1.70981792677,6.43778606574,4.38899,a33054a43f2c
8,8,5,0.3,0.4,-1.70132931222,6.42793769629,8.95124,d484baceae27
8,16,4,0.4,0.1,-1.29469518865,6.53818752259,22.8306,9b981809f370
8,8,4,0.5,0.2,-1.86936751106,6.88536122003,6.07918,3083d9089e33
16,16,4,0.3,0.2,-1.01097360826,6.91663499844,21.9386,4bf4dda65635
16,8,5,0.4,0.1,-1.41047137582,6.44358964183,8.74402,50cf9f3ddf70
8,16,6,0.4,0.1,-0.308397941792,6.99275210802,221.215,38db69ee2710
8,16,6,0.4,0.4,-0.372101844442,6.99491726988,191.034,5ae5525736c0
8,16,6,0.3,0.2,-0.411252853159,6.98324296475,174.566,e5e67527f4b7
4,16,6,0.4,0.4,-0.475040187596,7.04676915556,301.441,4f896c053bcd
16,16,4,0.5,0.025,-1.10777426265,6.03396387484,17.5553,0722c63456c3
16,16,6,0.5,0.025,0.176878066559,7.05718514748,338.112,d03a5a1b13ea
16,8,5,0.2,0.1,-1.33961944925,6.89019828097,10.2935,c5d2f125961d
4,16,6,0.5,0.4,-0.468778045568,7.01237958303,305.819,01db68c0121f
16,8,6,0.4,0.05,-0.912824556974,6.44868406367,27.5016,f7598146530b
16,16,6,0.4,0.05,0.179650077148,7.05562293543,340.277,409eedc0ba0a
16,16,6,0.2,0.025,0.102114938393,7.05671707362,284.641,88c20b3902a4
16,16,6,0.3,0.05,0.0804533117423,7.05671707362,270.792,b74cc46d6700
4,16,6,0.4,0.05,0.0774567337502,7.28455019916,1075.72,ad972fda39db
4,16,4,0.4,0.05,-1.601126779,6.53300494937,22.5484,eba1a9a06c7c
16,16,6,0.4,0.025,0.189265668935,7.05405508361,347.895,83c4138a4c2c
4,16,6,0.5,0.05,0.0685939809767,7.30317600595,1053.99,fc5d298d16b3
16,8,5,0.3,0.4,-1.40020908282,6.45120903871,8.9531,428e8ce426ca
8,16,5,0.4,0.1,-0.88419059779,4.9345792427,58.7519,292a5c887866
8,16,6,0.2,0.05,-0.124245705487,7.16866244874,338.039,843eec0b0a07
8,16,6,0.4,0.025,0.115663755243,7.17118847278,587.322,3b70f530dcd4
16,8,4,0.2,0.05,-1.70139044895,6.42393495384,4.47499,c4702a5ee818
16,16,5,0.3,0.05,-0.668811231623,6.54987783999,48.236,9b93b4766f14
16,8,4,0.4,0.2,-1.71409379543,6.43843475067,4.34599,19526f28faf6
8,16,4,0.3,0.025,-1.37064930764,6.53143804034,19.1674,5aee2e163ed5
16,16,4,0.2,0.1,-1.04049009818,4.2144199393,20.4971,c94a1be4ddb9
16,8,5,0.2,0.05,-1.40337309728,6.44037501219,8.88811,98c4d8e04c15
4,16,6,0.4,0.2,-0.445440852414,7.04852259501,322.702,fe79c198cae7
4,16,6,0.2,0.1,-0.593111766546,7.02043023385,229.684,9fb1e9bdb171
8,16,5,0.3,0.1,-0.941136358423,6.53715594377,51.5319,d17f847dfca5
