,ADAPT_COMM,ADVANCE$,ADVANCE_STEPS_COUNTER$,CFL_COMM,COMM,GHOSTFILL$,GHOSTFILL_AVERAGE,GHOSTFILL_COPY,GHOSTFILL_INTERP,GHOSTFILL_STEP1,GHOSTFILL_STEP2,GHOSTFILL_STEP3,GHOSTPATCH_BUILD,GHOSTPATCH_COMM,GRIDS_PER_PROC$,INIT,INTERIOR,LOCAL,LOCAL_BOUNDARY,LOCAL_BOUNDARY_RATIO,PARTITION,PARTITION_COMM,REGRID$,REMOTE_BOUNDARY,REMOTE_BOUNDARY_RATIO,WALLTIME,jobid,max,mi,min,mj,mx,nout,p,r0,rhoin,tfinal,MaxRSS,AveRSS
0,0.407134,6.9404,26319,2.96496,6.23824,2.87805,0.164805,1.74371,0.097134,0.867529,0.0171545,1.17981,0.286816,6.23824,3,0.000304625,0,2.97786,3,0.00455729,0.636605,0.636605,0.0164764,10,0.00142506,20.0977,4263172,6,4,0,1,8,150,16,0.4,0.4,0.75,3002368.0,23552.0
1,0.565965,13.8683,52638,0.495504,11.9516,5.20897,0.328439,3.40709,0.190617,1.71135,0.0317629,2.28101,0.479637,11.9516,6,0.000581666,0,5.98698,6,0.00329861,0.507364,0.507364,0.0261591,15,0.00165622,32.6415,4263882,6,4,0,1,8,150,8,0.4,0.4,0.75,0.0,0.0
2,0.323292,2.17553,2965,15.2606,1.50274,0.534629,0.0295767,0.315758,0.0149465,0.1586,0.00608826,0.208091,0.0562762,1.50274,0,0.000227548,0,0.078125,0,0.00390625,0.478038,0.478038,0.00760561,2,0.00325521,20.2896,4263883,4,4,0,1,16,300,8,0.2,0.2,0.75,0.0,0.0
3,0.29086,0.210185,780,3.35361,0.149175,0.0927266,0.00540418,0.0523094,0.00349713,0.0266918,0.00275156,0.0365647,0.00953726,0.149175,0,9.02976e-05,0,0.00520833,0,0.00260417,0.377155,0.377155,0.00252115,1,0.00195312,4.47935,4263884,4,4,0,1,8,150,16,0.2,0.1,0.75,2756608.0,200704.0
4,0.43958,1.2805,1708,17.519,0.846209,0.316542,0.017351,0.184012,0.00911759,0.0927648,0.00553219,0.12207,0.0332181,0.846209,0,0.000148139,0,0.00520833,0,0.00260417,0.571499,0.571499,0.00566404,1,0.00173611,20.9882,4263885,4,4,0,1,16,300,16,0.3,0.4,0.75,3534848.0,17408.0
5,0.443189,145.098,606765,1.108,19.5078,31.63,0.172703,27.9056,0.122817,10.2061,7.68267,11.1579,1.85346,19.5078,64,0.00107154,30,34.1823,34,0.901685,0.361306,0.361306,0.107676,43,0.712404,198.286,4263173,6,4,0,1,8,150,4,0.5,0.025,0.75,11939840.0,458752.0
6,1.41611,211.916,277194,3.15129,100.535,38.4978,2.41108,28.1719,1.13187,14.3022,1.54214,16.3731,3.62131,100.535,17,0.00258115,2,14.5521,15,0.1433,1.48284,1.48284,0.447848,25,0.0846634,357.598,4263886,6,4,0,1,16,300,4,0.4,0.1,0.75,11296768.0,401408.0
7,0.237047,0.745193,2817,2.58475,0.386601,0.291034,0.0126927,0.180267,0.00782639,0.088852,0.00328404,0.116733,0.0302546,0.386601,1,0.000155325,0,0.914062,1,0.00260417,0.294675,0.294675,0.00444532,3,0.000651042,4.54854,4263174,4,4,0,1,8,150,8,0.5,0.05,0.75,0.0,0.0
8,0.344132,28.6014,108602,0.601599,16.2924,9.3435,0.701034,6.55613,0.407094,3.2804,0.248785,4.3175,0.762099,16.2924,13,0.0010743,1,12.0833,12,0.0817793,0.456135,0.456135,0.0519984,22,0.0450066,55.7147,4263175,6,4,0,1,8,150,4,0.5,0.4,0.75,0.0,0.0
9,0.199914,121.059,173698,1.77246,34.0936,19.9883,0.0751783,16.61,0.0442266,7.7662,1.08474,8.14549,1.80129,34.0936,18,0.00108001,3,15.2656,15,0.21971,0.261368,0.261368,0.0765563,23,0.14693,177.485,4263887,5,4,0,1,16,300,4,0.3,0.025,0.75,2203648.0,11264.0
10,0.172033,4.97057,20793,1.23573,3.84249,1.86063,0.00983041,1.32509,0.00743588,0.634624,0.00849785,0.732587,0.173826,3.84249,4,0.000166725,0,3.96615,4,0.00234375,0.199525,0.199525,0.00430302,11,0.0010831,12.2908,4263888,5,4,0,1,8,150,16,0.5,0.025,0.75,0.0,0.0
11,0.744635,8.71997,11654,28.5702,7.33497,2.10165,0.110327,1.25753,0.0547945,0.627452,0.0132813,0.81631,0.222313,7.33497,1,0.000316617,0,0.994792,1,0.00260417,1.08825,1.08825,0.0302886,4,0.000868056,48.6118,4263889,5,4,0,1,16,300,16,0.5,0.4,0.75,0.0,0.0
12,0.289393,7.81893,10294,8.35095,4.88207,1.75744,0.0790815,1.09795,0.0384404,0.543166,0.00893176,0.689691,0.186272,4.88207,2,0.000497599,0,1.96354,2,0.00520833,0.408341,0.408341,0.0306381,6,0.00173611,23.5549,4263890,4,4,0,1,16,300,4,0.5,0.2,0.75,0.0,0.0
13,0.259494,5.45158,20680,0.319138,6.62651,2.12986,0.115916,1.37591,0.0672291,0.682454,0.0139217,0.90513,0.206551,6.62651,5,0.000507918,0,4.70312,5,0.0217014,0.317933,0.317933,0.0168652,13,0.00778397,15.1337,4263891,5,4,0,1,8,150,4,0.3,0.05,0.75,0.0,0.0
14,0.827574,22.4544,30097,40.5976,23.8938,5.69696,0.316987,3.36433,0.155782,1.68081,0.0285362,2.21064,0.601847,23.8938,1,0.000539705,0,1.41667,1,0.00390625,1.31273,1.31273,0.0614808,6,0.00108507,94.8795,4263176,6,4,0,1,16,300,16,0.2,0.4,0.75,0.0,0.0
15,0.223783,59.8614,87020,5.66973,21.1777,11.1519,0.0432339,8.74424,0.0263799,4.28125,0.0842567,4.57393,1.06243,21.1777,9,0.000605049,0,8.72917,9,0.0325107,0.304176,0.304176,0.0429878,16,0.0205372,98.4531,4263177,5,4,0,1,16,300,8,0.4,0.025,0.75,0.0,0.0
16,0.0990492,1.32298,5518,1.48949,0.2111,0.486201,0.00344828,0.336506,0.00258402,0.161765,0.00342506,0.187945,0.046839,0.2111,2,0.000153907,0,1.98958,2,0.00520833,0.103526,0.103526,0.00174177,6,0.00260417,3.71716,4263178,4,4,0,1,8,150,8,0.5,0.025,0.75,0.0,0.0
17,0.383044,5.41038,20542,5.05586,4.83178,2.28718,0.133105,1.36494,0.0787857,0.679092,0.0152807,0.931518,0.229824,4.83178,2,0.000293569,0,2.0026,2,0.000651042,0.495529,0.495529,0.0125516,8,0.000325521,18.4873,4263892,6,4,0,1,8,150,16,0.3,0.4,0.75,0.0,0.0
18,0.351931,1.96498,7371,4.35871,1.22507,0.784963,0.0386469,0.478753,0.0233613,0.236248,0.00676644,0.316643,0.0794208,1.22507,1,0.00016726,0,1.06641,1,0.00520833,0.428045,0.428045,0.00696722,5,0.000954861,9.1273,4263179,5,4,0,1,8,150,16,0.5,0.05,0.75,0.0,0.0
19,0.346172,1.86333,7002,4.46786,1.218,0.753098,0.0384102,0.45564,0.0232341,0.225196,0.00670933,0.303809,0.0764103,1.218,1,0.0001648,0,1.02344,1,0.00390625,0.427158,0.427158,0.00672257,5,0.00119358,9.08937,4263180,5,4,0,1,8,150,16,0.5,0.1,0.75,2809856.0,22528.0
