ADAPT_COMM,ADVANCE$,ADVANCE_STEPS_COUNTER$,CFL_COMM,COMM,GHOSTFILL$,GHOSTFILL_AVERAGE,GHOSTFILL_COPY,GHOSTFILL_INTERP,GHOSTFILL_STEP1,GHOSTFILL_STEP2,GHOSTFILL_STEP3,GHOSTPATCH_BUILD,GHOSTPATCH_COMM,GRIDS_PER_PROC$,INIT,INTERIOR,LOCAL,LOCAL_BOUNDARY,LOCAL_BOUNDARY_RATIO,PARTITION,PARTITION_COMM,REGRID$,REMOTE_BOUNDARY,REMOTE_BOUNDARY_RATIO,WALLTIME,jobid,max,mi,min,mj,mx,nout,p,r0,rhoin,tfinal,MaxRSS,AveRSS
0.517742,388.748,563790,3.05342,62.125,60.9467,0.323533,52.2903,0.175839,22.297,7.92892,23.4367,4.81228,62.125,29,0.00132676,9,20.1198,20,0.471766,0.703707,0.703707,0.207881,29,0.332106,516.376,4263895,6,4,0,1,16,300,8,0.5,0.1,0.75,14643200.0,515072.0
0.717962,150.432,198579,2.90541,98.203,29.7124,1.88765,20.9502,0.881636,10.8148,0.505856,12.7629,2.94745,98.203,12,0.00242436,1,11.0677,11,0.0881539,1.30528,1.30528,0.355163,22,0.0466114,283.759,4263190,6,4,0,1,16,300,4,0.3,0.1,0.75,10682368.0,205824.0
1.43126,52.4847,69298,12.1945,67.2314,12.0473,0.611737,7.60885,0.29255,3.80907,0.0469139,4.80407,1.246,67.2314,4,0.000667177,0,3.97266,4,0.00412326,1.68901,1.68901,0.133989,11,0.00130997,147.274,4263191,6,4,0,1,16,300,16,0.4,0.1,0.75,9502720.0,190464.0
0.681062,99.6709,132611,2.91776,94.4142,21.5164,1.35253,14.4849,0.638825,7.4512,0.142944,9.13909,2.19886,94.4142,8,0.00201964,0,7.94271,8,0.0106213,1.18186,1.18186,0.226094,18,0.00603864,220.706,4263328,6,4,0,1,16,300,4,0.2,0.2,0.75,9986048.0,470016.0
0.261985,6.79135,25753,0.298895,5.61659,2.48961,0.131714,1.65985,0.0766407,0.823112,0.019077,1.07453,0.234503,5.61659,6,0.000542397,0,5.73958,6,0.0364583,0.324727,0.324727,0.0203346,14,0.0143233,15.8177,4263898,5,4,0,1,8,150,4,0.4,0.1,0.75,2940928.0,34816.0
0.437072,1.7134,2310,16.8632,0.931364,0.40655,0.0194268,0.244897,0.0100859,0.122912,0.00567393,0.15667,0.0426732,0.931364,0,0.000156812,0,0.0117188,0,0.00260417,0.581089,0.581089,0.00677155,1,0.0016276,20.9489,4263196,4,4,0,1,16,300,16,0.4,0.2,0.75,3530752.0,240640.0
0.318377,2.63683,3796,14.5525,0.611552,0.587437,0.0109528,0.387242,0.00619081,0.191102,0.00575893,0.219702,0.0586375,0.611552,0,0.000145997,0,0.361979,0,0.00325521,0.407958,0.407958,0.00515616,2,0.00206163,19.1259,4263198,4,4,0,1,16,300,16,0.3,0.025,0.75,3280896.0,8192.0
1.21399,451.715,657127,2.14234,56.1836,70.7953,0.203126,61.2592,0.122546,25.8741,9.5684,27.1662,5.67411,56.1836,34,0.00126035,11,23.2526,23,0.483364,0.928749,0.928749,0.263289,32,0.354272,583.328,4263899,6,4,0,1,16,300,8,0.3,0.025,0.75,14888960.0,500736.0
0.4109,38.0415,53685,7.77489,21.0739,7.63184,0.13756,5.53928,0.0691464,2.71109,0.0473138,3.07796,0.767661,21.0739,6,0.000616059,0,5.44271,5,0.0303385,0.745054,0.745054,0.0893284,12,0.0137314,75.8031,4263901,5,4,0,1,16,300,8,0.5,0.05,0.75,3932160.0,78848.0
0.584583,49.3674,66306,6.99083,76.705,11.9736,0.676766,7.41405,0.324236,3.73305,0.0442711,4.78523,1.24834,76.705,4,0.00108758,0,3.97135,4,0.00868056,1.25017,1.25017,0.121187,12,0.00348472,147.053,4263903,6,4,0,1,16,300,8,0.2,0.2,0.75,3411968.0,34816.0
0.580805,790.081,1127580,3.90481,105.895,108.973,0.645719,96.4393,0.346151,36.0925,25.1138,38.0402,7.21486,105.895,59,0.00254264,28,31.6667,32,0.933581,0.723932,0.723932,0.352226,40,0.729728,1010.62,4263904,6,4,0,1,16,300,4,0.5,0.1,0.75,19279872.0,472064.0
0.666424,4.82857,6599,30.5275,4.27073,1.24376,0.069955,0.723732,0.0353863,0.363972,0.0119438,0.478787,0.131993,4.27073,0,0.000256974,0,0.10026,0,0.00455729,1.02427,1.02427,0.0171682,2,0.00184462,42.5948,4263905,5,4,0,1,16,300,16,0.2,0.4,0.75,2596864.0,3072.0
0.600899,19.0086,26843,17.9276,17.6031,4.26562,0.0699888,2.89006,0.0364635,1.41681,0.0159719,1.61627,0.428566,17.6031,2,0.000313791,0,2.33333,2,0.0,0.835354,0.835354,0.0363967,8,0.0,60.2979,4263204,5,4,0,1,16,300,16,0.5,0.05,0.75,3682304.0,23552.0
0.435581,20.9613,28132,5.92464,22.881,5.15113,0.288491,3.14564,0.138509,1.57669,0.0214903,2.0432,0.553215,22.881,3,0.000979889,0,2.97917,3,0.0130208,0.761569,0.761569,0.0951448,10,0.00607639,56.2556,4263908,5,4,0,1,16,300,4,0.2,0.2,0.75,3272704.0,152576.0
0.350524,3.17443,4293,15.3662,2.15226,0.747944,0.0367645,0.455958,0.0182111,0.227612,0.0065617,0.291541,0.0785354,2.15226,1,0.000245024,0,0.554688,1,0.0104167,0.524307,0.524307,0.0116178,2,0.00477431,22.3362,4263207,4,4,0,1,16,300,8,0.3,0.05,0.75,3338240.0,51200.0
0.294003,0.2358,887,3.1967,0.17418,0.105752,0.00656797,0.0592872,0.00411366,0.030241,0.00278181,0.041971,0.0109894,0.17418,0,9.16046e-05,0,0.00130208,0,0.00520833,0.378632,0.378632,0.00274418,1,0.00434028,4.39121,4263909,4,4,0,1,8,150,16,0.2,0.025,0.75,2764800.0,24576.0
0.448846,903.456,1314250,1.63744,90.5823,124.728,0.400133,111.268,0.236974,40.9366,29.7607,43.3027,8.26645,90.5823,69,0.00240194,33,35.8438,36,0.979284,0.772059,0.772059,0.434523,45,0.789627,1122.17,4263209,6,4,0,1,16,300,4,0.3,0.025,0.75,19247104.0,374784.0
0.244017,5.40029,7211,10.5974,3.88477,1.31345,0.0712632,0.794637,0.0343324,0.396182,0.00799872,0.518072,0.139465,3.88477,1,0.000404119,0,1.19271,1,0.0208333,0.383884,0.383884,0.0191964,5,0.00668403,21.859,4263911,4,4,0,1,16,300,4,0.2,0.025,0.75,401408.0,2048.0
0.79482,8.91296,11912,27.5614,6.96262,2.13957,0.104231,1.2933,0.0515725,0.644021,0.0133444,0.826401,0.226298,6.96262,1,0.000310364,0,1.0,1,0.00130208,1.14766,1.14766,0.0323805,4,0.000325521,47.5733,4263912,5,4,0,1,16,300,16,0.4,0.2,0.75,3571712.0,241664.0
