,Iteration,Number of Processors,Grid Size,Maximum Refinement Level,Bubble Size,Bubble Density,"log(Cost, Node-Hours)",Pred. Mean,Pred. Sigma,Max Sigma,Cost Pred. Error,Memory Pred. Error,Hyperparameter-0,Hyperparameter-1,Hyperparameter-2,LML Max,Pred. Sigma Avg.,Cumulative Cost,Cumulative Regret,MaxRSS,rep,Candidate Selection,mem_limit_rel,n_init_rel
0,1.0,8.0,16.0,4.0,0.4,0.25,-1.29841858435,-0.0235453744655,0.326863256518,0.326864856206,0.88334654247,7067257.48893,-0.850993960719,5.28668797443,-0.755763889398,-2.60120291971,0.789165634587,0.520509333334,0.0,5.27511777965,0,RGMA,0.95,0.0025
1,2.0,4.0,32.0,4.0,0.2,0.025,-0.676466026574,-0.522724552612,0.788546313407,0.791522332482,0.863214833899,6083377.51083,-0.129231236601,2.98784964362,-2.77918078444,-1.92551798285,0.499842518305,0.731146000001,0.0,7.0912149155,0,RGMA,0.95,0.0025
2,3.0,16.0,16.0,5.0,0.4,0.05,-0.585395773563,-1.11742768761,0.494938560205,0.901324052029,0.907601160789,4288384453.19,-0.736314782859,6.90775527898,-1.77522845416,-3.38073631324,0.456560399298,0.990925111112,0.0,6.47568280809,0,RGMA,0.95,0.0025
3,4.0,16.0,16.0,4.0,0.2,0.2,-1.03928405298,-0.663479007813,0.456533386616,0.456780920203,0.880107565688,5699992545.98,-0.591194506234,3.49792760873,-2.22607573593,-2.80394887,0.415457583545,1.08227666667,0.0,6.54887369045,0,RGMA,0.95,0.0025
4,5.0,4.0,32.0,5.0,0.4,0.4,-0.268030912512,-0.589567225141,0.386049844925,0.575114204235,0.769698194107,4523195809.95,-0.597124500963,2.79082361484,-2.69861138285,-3.87051171413,0.41866347801,1.62174888889,0.0,7.12902750707,0,RGMA,0.95,0.0025
5,6.0,8.0,16.0,6.0,0.2,0.025,,-1.045976074,0.340721428692,0.717554886563,0.769698194107,4292437.57886,-0.597124500963,2.79082361484,-2.69861138285,-3.87051171413,0.41866347801,2.72970444445,1.10795555556,7.15660227452,0,RGMA,0.95,0.0025
6,7.0,16.0,16.0,4.0,0.3,0.025,-1.07056063738,-0.854336907013,0.309304469428,0.717554886563,0.78593236489,6597382.87526,-0.528840046912,2.85429749544,-2.83110200573,-2.91917589711,0.394801984687,2.81470844445,1.10795555556,6.51599246405,0,RGMA,0.95,0.0025
7,8.0,16.0,16.0,4.0,0.2,0.1,-1.04049009818,-0.922255736559,0.276775674239,0.709033895441,0.787640253077,5765381.30385,-0.0641482478498,1.12089197764,-6.90775527898,-0.114584328487,0.708479806946,2.90580666667,1.10795555556,4.2144199393,0,RGMA,0.95,0.0025
8,9.0,4.0,32.0,5.0,0.3,0.4,-0.331746649305,-0.284927921147,0.0492489446356,0.9689509547,0.782603312007,5549003.73083,-0.0517660057901,1.1569225867,-6.90775527898,2.44719992257,0.707879271637,3.37166444445,1.10795555556,7.1302153669,0,RGMA,0.95,0.0025
9,10.0,8.0,16.0,4.0,0.3,0.1,-1.32075789437,-1.29550307222,0.0710002920793,0.974962066079,0.765295352346,5407340.29754,-0.0104651642813,1.25571009318,-6.90775527898,3.2143409731,0.707997273505,3.419444,1.10795555556,6.92538305829,0,RGMA,0.95,0.0025
10,11.0,16.0,32.0,6.0,0.2,0.025,,-0.000160072957237,0.995279493751,0.995283580205,0.765295352346,5044186.70421,-0.0104651642813,1.25571009318,-6.90775527898,3.2143409731,0.707997273505,13.1325995555,10.8211111111,7.15660227452,0,RGMA,0.95,0.0025
11,12.0,32.0,32.0,6.0,0.2,0.1,0.660478423158,-3.07536324791e-11,0.995283580205,0.995283580205,0.683326462452,4650084.3124,-0.178305307875,1.16302917557,-6.90775527898,3.02278237633,0.638123607657,17.7085195556,10.8211111111,7.07039314046,0,RGMA,0.95,0.0025
12,13.0,4.0,32.0,5.0,0.3,0.025,,-0.344099008187,0.0609632996741,0.915252389977,0.683326527411,4596892.64526,-0.178304874228,1.1630284367,-6.90775527898,3.02278237634,0.638123843122,18.9433528889,12.0559444444,7.15660227452,0,RGMA,0.95,0.0025
